Nomor Kontrak,Nama Vendor,Jenis Pengadaan,Durasi Kontrak (hari),HPS,Risk Level,Priority,Predicted Duration
PK-21959,PT Suryono,Pengembangan Sistem,149,1010082957,Tinggi,Penting,109 hari
PK-76677,PD Halimah,Pengadaan Jasa,268,4777815319,Tinggi,Penting,228 hari
PK-62793,UD Santoso Puspita (Persero) Tbk,Jasa Konsultansi,331,1315491275,Tinggi,Penting,291 hari
PK-9070,CV Maryadi (Persero) Tbk,Jasa Konsultansi,181,1404001028,Tinggi,Penting,141 hari
PK-48288,PT Zulkarnain,Jasa Konsultansi,212,3049015156,Tinggi,Penting,172 hari
PK-73382,PD Situmorang Wahyudin,Pengadaan Barang,103,2548679160,Tinggi,Penting,63 hari
PK-49710,PD Dongoran Widodo,Pengadaan Jasa,87,"233112081,5",Rendah,Penting,47 hari
PK-12556,CV Haryanti Dongoran Tbk,Pengembangan Sistem,278,1040104886,Tinggi,Penting,238 hari
PK-90648,Perum Januar,Pengadaan Barang,56,3220537157,Tinggi,Penting,16 hari
PK-69518,UD Siregar (Persero) Tbk,Pengembangan Sistem,54,4830723773,Tinggi,Penting,14 hari
PK-2734,CV Widodo Winarsih,Lisensi & Perangkat Lunak,345,4401499923,Tinggi,Penting,305 hari
PK-97980,UD Samosir Prayoga Tbk,Pengadaan Barang,31,3302534066,Tinggi,Penting,-9 hari
PK-35207,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengadaan Jasa,77,1076299119,Tinggi,Penting,37 hari
PK-61683,PD Sihotang (Persero) Tbk,Pengadaan Barang,141,1478574158,Tinggi,Penting,101 hari
PK-39407,PT Hariyah Tbk,Pengadaan Barang,353,4427669957,Tinggi,Penting,313 hari
PK-68050,Perum Rahayu Firgantoro,Pengadaan Jasa,211,3018738773,Tinggi,Penting,171 hari
PK-98080,UD Prasasta Wahyudin Tbk,Pengadaan Barang,70,2616409397,Tinggi,Penting,30 hari
PK-26149,UD Sirait (Persero) Tbk,Pengembangan Sistem,93,3734229731,Tinggi,Penting,53 hari
PK-47730,CV Widodo Winarsih,Pengadaan Barang,110,3927559843,Tinggi,Penting,70 hari
PK-67010,Perum Rahayu Firgantoro,Pengadaan Jasa,355,3602724708,Tinggi,Penting,315 hari
PK-69932,UD Lailasari,Lisensi & Perangkat Lunak,185,4097274453,Tinggi,Penting,145 hari
PK-77040,PD Lazuardi Tbk,Pengembangan Sistem,351,3017524897,Tinggi,Penting,311 hari
PK-40118,Perum Kusmawati Prayoga Tbk,Jasa Konsultansi,153,2189756669,Tinggi,Penting,113 hari
PK-42627,Perum Laksita (Persero) Tbk,Jasa Konsultansi,110,4185002451,Tinggi,Penting,70 hari
PK-25008,Perum Santoso,Pengadaan Barang,288,"673136920,9",Sedang,Penting,248 hari
PK-77601,PT Damanik (Persero) Tbk,Pengadaan Barang,330,2902104341,Tinggi,Penting,290 hari
PK-69445,CV Mansur,Pengadaan Jasa,68,2112895451,Tinggi,Penting,28 hari
PK-59861,PD Lazuardi Tbk,Jasa Konsultansi,41,4020846399,Tinggi,Penting,1 hari
PK-62452,Perum Fujiati Suartini,Lisensi & Perangkat Lunak,157,4069925609,Tinggi,Penting,117 hari
PK-86884,Perum Nababan Haryanti,Pengembangan Sistem,330,1676485431,Tinggi,Penting,290 hari
PK-61060,Perum Aryani,Jasa Konsultansi,75,3903342493,Tinggi,Penting,35 hari
PK-18623,PD Laksmiwati Haryanto,Pengadaan Jasa,353,3186653067,Tinggi,Penting,313 hari
PK-91699,PT Andriani,Pengembangan Sistem,193,"507962462,6",Sedang,Penting,153 hari
PK-33875,UD Habibi Namaga,Jasa Konsultansi,101,1987451358,Tinggi,Penting,61 hari
PK-59826,CV Salahudin Tbk,Pengadaan Jasa,268,3295102675,Tinggi,Penting,228 hari
PK-92435,CV Widiastuti Maulana,Pengadaan Jasa,335,1956616436,Tinggi,Penting,295 hari
PK-29202,CV Hidayat Latupono (Persero) Tbk,Pengadaan Barang,223,1895904174,Tinggi,Penting,183 hari
PK-26970,CV Gunarto (Persero) Tbk,Jasa Konsultansi,286,3869178186,Tinggi,Penting,246 hari
PK-28332,PT Utama (Persero) Tbk,Pengadaan Jasa,268,"159029922,4",Rendah,Penting,228 hari
PK-90792,UD Haryanti,Lisensi & Perangkat Lunak,262,2688912492,Tinggi,Penting,222 hari
PK-28112,UD Jailani Tbk,Pengadaan Barang,104,1539140274,Tinggi,Penting,64 hari
PK-63025,UD Sihombing Siregar (Persero) Tbk,Jasa Konsultansi,33,1030654831,Tinggi,Penting,-7 hari
PK-79193,CV Rajasa Setiawan Tbk,Lisensi & Perangkat Lunak,132,2090523497,Tinggi,Penting,92 hari
PK-17728,UD Haryanti,Pengadaan Barang,188,1777949207,Tinggi,Penting,148 hari
PK-88700,Perum Januar,Lisensi & Perangkat Lunak,151,4484475249,Tinggi,Penting,111 hari
PK-61633,UD Habibi Namaga,Pengadaan Barang,91,"965824988,7",Sedang,Penting,51 hari
PK-27515,PD Ardianto Ardianto,Lisensi & Perangkat Lunak,336,2462899330,Tinggi,Penting,296 hari
PK-91745,UD Lailasari Zulaika (Persero) Tbk,Lisensi & Perangkat Lunak,37,1794800370,Tinggi,Penting,-3 hari
PK-55763,UD Iswahyudi Nababan,Pengadaan Jasa,298,3690890186,Tinggi,Penting,258 hari
PK-55993,PD Laksita (Persero) Tbk,Pengadaan Jasa,89,"376852520,9",Rendah,Penting,49 hari
PK-88338,CV Narpati Tbk,Pengadaan Barang,192,1100997436,Tinggi,Penting,152 hari
PK-61861,PD Usamah Wibisono Tbk,Pengadaan Jasa,285,2180927085,Tinggi,Penting,245 hari
PK-90787,PD Sihotang (Persero) Tbk,Lisensi & Perangkat Lunak,317,"512737302,2",Sedang,Penting,277 hari
PK-58225,PD Laksmiwati Haryanto,Jasa Konsultansi,191,1576138915,Tinggi,Penting,151 hari
PK-37653,PT Nainggolan Hakim,Pengadaan Barang,40,1831114161,Tinggi,Penting,0 hari
PK-6079,CV Prasetyo,Pengembangan Sistem,305,3358767823,Tinggi,Penting,265 hari
PK-90671,PD Sihotang (Persero) Tbk,Pengadaan Barang,202,4064162810,Tinggi,Penting,162 hari
PK-42518,CV Utama Tbk,Lisensi & Perangkat Lunak,309,1831374977,Tinggi,Penting,269 hari
PK-19561,PT Nashiruddin Tbk,Pengembangan Sistem,102,3652431565,Tinggi,Penting,62 hari
PK-9239,PT Zulkarnain,Pengembangan Sistem,272,1364507882,Tinggi,Penting,232 hari
PK-73246,CV Maryadi (Persero) Tbk,Jasa Konsultansi,65,1942796089,Tinggi,Penting,25 hari
PK-38984,PT Wibisono Winarsih (Persero) Tbk,Pengembangan Sistem,216,2954018486,Tinggi,Penting,176 hari
PK-50870,PT Hastuti Permata,Jasa Konsultansi,53,"605367255,7",Sedang,Penting,13 hari
PK-99333,PT Simbolon Rahmawati Tbk,Jasa Konsultansi,145,2240922856,Tinggi,Penting,105 hari
PK-15627,Perum Januar,Pengadaan Jasa,177,4149922764,Tinggi,Penting,137 hari
PK-5456,PD Habibi,Pengembangan Sistem,38,"628301537,5",Sedang,Penting,-2 hari
PK-93645,CV Marbun,Pengembangan Sistem,240,3326924134,Tinggi,Penting,200 hari
PK-68417,UD Najmudin Tbk,Lisensi & Perangkat Lunak,127,1235024476,Tinggi,Penting,87 hari
PK-39740,PT Hariyah Tbk,Pengadaan Jasa,42,3851722705,Tinggi,Penting,2 hari
PK-76659,UD Iswahyudi Nababan,Pengembangan Sistem,51,1516570324,Tinggi,Penting,11 hari
PK-75847,PT Saputra Hasanah,Pengadaan Jasa,91,4082638974,Tinggi,Penting,51 hari
PK-69136,PT Hastuti Permata,Pengadaan Barang,252,1850725738,Tinggi,Penting,212 hari
PK-30902,PT Wibisono Winarsih (Persero) Tbk,Pengembangan Sistem,179,"170843244,9",Rendah,Penting,139 hari
PK-99502,CV Hidayat Latupono (Persero) Tbk,Jasa Konsultansi,269,3881961246,Tinggi,Penting,229 hari
PK-5630,CV Rajasa Setiawan Tbk,Lisensi & Perangkat Lunak,276,1823103329,Tinggi,Penting,236 hari
PK-96526,CV Hidayat Latupono (Persero) Tbk,Pengadaan Barang,293,"393900656,4",Rendah,Penting,253 hari
PK-66790,PT Haryanti,Pengadaan Barang,70,3052887047,Tinggi,Penting,30 hari
PK-36580,PT Utama (Persero) Tbk,Pengadaan Barang,169,3830931635,Tinggi,Penting,129 hari
PK-21255,PT Suryono,Pengembangan Sistem,155,1419026899,Tinggi,Penting,115 hari
PK-97388,CV Jailani Simbolon,Jasa Konsultansi,152,3759028190,Tinggi,Penting,112 hari
PK-57741,Perum Fujiati Suartini,Jasa Konsultansi,184,"110716633,2",Rendah,Penting,144 hari
PK-53897,PD Prasetya Pratama Tbk,Pengembangan Sistem,75,"404200574,4",Rendah,Penting,35 hari
PK-94716,Perum Rahayu Firgantoro,Jasa Konsultansi,309,4805763762,Tinggi,Penting,269 hari
PK-79539,PT Namaga (Persero) Tbk,Pengadaan Barang,205,1026126929,Tinggi,Penting,165 hari
PK-402,Perum Megantara,Jasa Konsultansi,119,4750845846,Tinggi,Penting,79 hari
PK-32412,PT Namaga (Persero) Tbk,Pengembangan Sistem,324,1487654833,Tinggi,Penting,284 hari
PK-47646,CV Widiastuti Maulana,Pengadaan Barang,214,4505523757,Tinggi,Penting,174 hari
PK-91288,Perum Utami,Pengembangan Sistem,72,3123840530,Tinggi,Penting,32 hari
PK-74655,Perum Latupono Maryadi,Pengadaan Barang,91,"147380257,9",Rendah,Penting,51 hari
PK-78373,PD Halimah,Lisensi & Perangkat Lunak,175,4328605979,Tinggi,Penting,135 hari
PK-59355,PD Lazuardi Tbk,Pengembangan Sistem,247,1122669103,Tinggi,Penting,207 hari
PK-45885,PD Usamah Wibisono Tbk,Lisensi & Perangkat Lunak,31,"915648220,9",Sedang,Penting,-9 hari
PK-45539,CV Hidayat Latupono (Persero) Tbk,Lisensi & Perangkat Lunak,36,2554465397,Tinggi,Penting,-4 hari
PK-95594,PD Dongoran Anggriawan (Persero) Tbk,Lisensi & Perangkat Lunak,122,4137198787,Tinggi,Penting,82 hari
PK-35240,UD Maheswara Prastuti,Pengembangan Sistem,278,2537117141,Tinggi,Penting,238 hari
PK-78291,UD Samosir Prayoga Tbk,Jasa Konsultansi,59,"978147234,4",Sedang,Penting,19 hari
PK-68507,UD Uwais Utama,Pengadaan Barang,355,"628354198,9",Sedang,Penting,315 hari
PK-19098,CV Prasetyo,Jasa Konsultansi,69,1203067306,Tinggi,Penting,29 hari
PK-19698,UD Habibi Namaga,Pengembangan Sistem,166,3247961805,Tinggi,Penting,126 hari
PK-24105,PT Halimah,Pengembangan Sistem,347,2600956749,Tinggi,Penting,307 hari
PK-70841,PD Habibi,Pengembangan Sistem,251,"986755352,3",Sedang,Penting,211 hari
PK-41403,PD Yulianti Nababan,Pengadaan Jasa,70,3776472063,Tinggi,Penting,30 hari
PK-25281,CV Andriani Latupono,Jasa Konsultansi,289,3146426194,Tinggi,Penting,249 hari
PK-28228,PD Simbolon Rahayu,Lisensi & Perangkat Lunak,171,2482482358,Tinggi,Penting,131 hari
PK-27217,UD Sirait (Persero) Tbk,Jasa Konsultansi,241,"745227305,4",Sedang,Penting,201 hari
PK-33903,CV Hidayat Latupono (Persero) Tbk,Pengembangan Sistem,222,4105374777,Tinggi,Penting,182 hari
PK-69296,UD Uwais Utama,Pengadaan Jasa,37,1046171067,Tinggi,Penting,-3 hari
PK-73139,CV Haryanti Dongoran Tbk,Pengadaan Jasa,269,"763492359,1",Sedang,Penting,229 hari
PK-34790,PD Dongoran Widodo,Pengadaan Jasa,300,2362797611,Tinggi,Penting,260 hari
PK-13049,UD Puspita Tbk,Pengadaan Jasa,58,3674191869,Tinggi,Penting,18 hari
PK-28847,PT Anggraini Permadi Tbk,Pengadaan Jasa,155,2996793584,Tinggi,Penting,115 hari
PK-5203,PD Mayasari Oktaviani Tbk,Pengadaan Barang,272,4165259733,Tinggi,Penting,232 hari
PK-52426,CV Yolanda Wijaya,Pengembangan Sistem,365,2690313275,Tinggi,Penting,325 hari
PK-72701,CV Widodo Winarsih,Jasa Konsultansi,118,4135890209,Tinggi,Penting,78 hari
PK-69526,PD Thamrin (Persero) Tbk,Pengadaan Jasa,328,2492042563,Tinggi,Penting,288 hari
PK-29616,CV Rajasa Setiawan Tbk,Pengadaan Barang,118,3611447367,Tinggi,Penting,78 hari
PK-77357,PD Prasetya Pratama Tbk,Pengembangan Sistem,152,2601964194,Tinggi,Penting,112 hari
PK-71111,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengadaan Jasa,138,"105018793,2",Rendah,Penting,98 hari
PK-99385,CV Rahmawati Marpaung Tbk,Pengembangan Sistem,190,"233288190,6",Rendah,Penting,150 hari
PK-17979,UD Habibi Namaga,Pengembangan Sistem,132,1225382632,Tinggi,Penting,92 hari
PK-92659,PT Utama (Persero) Tbk,Jasa Konsultansi,94,2471524164,Tinggi,Penting,54 hari
PK-27860,PT Saputra Hasanah,Lisensi & Perangkat Lunak,317,2531946169,Tinggi,Penting,277 hari
PK-10703,PT Suryono,Pengembangan Sistem,118,2270171082,Tinggi,Penting,78 hari
PK-28692,PD Laksmiwati Haryanto,Pengembangan Sistem,251,3775885102,Tinggi,Penting,211 hari
PK-35244,CV Marbun,Pengadaan Barang,76,2803008608,Tinggi,Penting,36 hari
PK-86846,PT Zulkarnain,Jasa Konsultansi,223,1771721601,Tinggi,Penting,183 hari
PK-38349,PD Situmorang Wahyudin,Lisensi & Perangkat Lunak,317,2611056166,Tinggi,Penting,277 hari
PK-30442,Perum Halim Gunawan,Lisensi & Perangkat Lunak,296,4441628851,Tinggi,Penting,256 hari
PK-63017,PT Nainggolan Hakim,Jasa Konsultansi,245,"379974203,9",Rendah,Penting,205 hari
PK-10432,PT Suryono,Jasa Konsultansi,277,3585251488,Tinggi,Penting,237 hari
PK-7022,PT Namaga (Persero) Tbk,Jasa Konsultansi,94,3392391482,Tinggi,Penting,54 hari
PK-9786,UD Maheswara Prastuti,Pengadaan Barang,360,1590014821,Tinggi,Penting,320 hari
PK-900,PT Namaga (Persero) Tbk,Pengembangan Sistem,65,2736812779,Tinggi,Penting,25 hari
PK-85240,PT Latupono Tbk,Pengadaan Barang,226,4434504412,Tinggi,Penting,186 hari
PK-60634,Perum Nuraini Namaga (Persero) Tbk,Pengembangan Sistem,82,2943758465,Tinggi,Penting,42 hari
PK-91876,PT Hariyah Tbk,Pengadaan Jasa,239,2423859526,Tinggi,Penting,199 hari
PK-93121,UD Tamba Tbk,Pengadaan Barang,256,1997987373,Tinggi,Penting,216 hari
PK-20124,PD Dongoran Anggriawan (Persero) Tbk,Pengadaan Barang,256,2894914973,Tinggi,Penting,216 hari
PK-79500,PT Wibisono Winarsih (Persero) Tbk,Jasa Konsultansi,354,2728716955,Tinggi,Penting,314 hari
PK-37638,CV Winarno Samosir (Persero) Tbk,Pengembangan Sistem,277,3059297963,Tinggi,Penting,237 hari
PK-22740,PT Mardhiyah Nurdiyanti (Persero) Tbk,Jasa Konsultansi,99,4285402648,Tinggi,Penting,59 hari
PK-40286,PD Halimah,Lisensi & Perangkat Lunak,178,3452908259,Tinggi,Penting,138 hari
PK-97959,CV Marbun,Pengembangan Sistem,356,3305160361,Tinggi,Penting,316 hari
PK-73090,PT Halimah,Pengadaan Jasa,71,2200469227,Tinggi,Penting,31 hari
PK-68381,Perum Mandala Permadi,Jasa Konsultansi,158,2500794793,Tinggi,Penting,118 hari
PK-36733,PT Mandasari,Pengembangan Sistem,280,4475047233,Tinggi,Penting,240 hari
PK-838,Perum Rajata Tbk,Pengadaan Jasa,137,1631695636,Tinggi,Penting,97 hari
PK-68415,Perum Kusmawati Prayoga Tbk,Pengadaan Barang,258,2987414840,Tinggi,Penting,218 hari
PK-55046,UD Siregar (Persero) Tbk,Pengembangan Sistem,216,2642863854,Tinggi,Penting,176 hari
PK-74770,CV Latupono (Persero) Tbk,Jasa Konsultansi,231,"561108276,5",Sedang,Penting,191 hari
PK-48161,Perum Nababan Haryanti,Pengadaan Jasa,98,2958597123,Tinggi,Penting,58 hari
PK-26194,UD Habibi Namaga,Lisensi & Perangkat Lunak,68,1527242440,Tinggi,Penting,28 hari
PK-20998,PT Andriani,Lisensi & Perangkat Lunak,143,2986486818,Tinggi,Penting,103 hari
PK-30619,CV Yolanda Wijaya,Pengadaan Barang,199,1157118381,Tinggi,Penting,159 hari
PK-25763,PD Habibi,Lisensi & Perangkat Lunak,113,4259446457,Tinggi,Penting,73 hari
PK-45986,CV Salahudin Tbk,Lisensi & Perangkat Lunak,46,2253471826,Tinggi,Penting,6 hari
PK-84293,PD Laksita (Persero) Tbk,Pengembangan Sistem,80,1920035953,Tinggi,Penting,40 hari
PK-73235,UD Sirait (Persero) Tbk,Pengembangan Sistem,276,3311140461,Tinggi,Penting,236 hari
PK-47240,UD Sihombing Siregar (Persero) Tbk,Pengadaan Barang,205,3344789369,Tinggi,Penting,165 hari
PK-70033,Perum Aryani,Pengadaan Barang,56,1212421472,Tinggi,Penting,16 hari
PK-26900,Perum Utami,Pengadaan Jasa,268,4085658098,Tinggi,Penting,228 hari
PK-80907,PD Mayasari Oktaviani Tbk,Pengadaan Jasa,356,2489162382,Tinggi,Penting,316 hari
PK-67495,CV Latupono (Persero) Tbk,Pengembangan Sistem,70,4611674575,Tinggi,Penting,30 hari
PK-12888,Perum Nuraini Namaga (Persero) Tbk,Pengadaan Barang,41,1773353658,Tinggi,Penting,1 hari
PK-78549,UD Lailasari,Jasa Konsultansi,94,1630548368,Tinggi,Penting,54 hari
PK-89114,CV Mansur,Jasa Konsultansi,112,4325213768,Tinggi,Penting,72 hari
PK-20248,PD Sihotang (Persero) Tbk,Pengadaan Barang,171,2375570707,Tinggi,Penting,131 hari
PK-52121,CV Widiastuti Maulana,Lisensi & Perangkat Lunak,328,3177184858,Tinggi,Penting,288 hari
